"X","GeneSymbol","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
9381,"OTOF",9381,4419.99852679385,7.52434756921669,1.02105365500944,7.36919899586193,1.71656271679809e-13,3.97178281412743e-09
3429,"IFI27",3429,3667.49008452147,7.47069902296614,1.1024938652187,6.77618194409106,1.23393269970836e-11,1.4275367402926e-07
6614,"SIGLEC1",6614,14689.5378861408,4.58211955226078,0.763323747031568,6.00285209267998,1.9388122332967e-09,8.9720474908038e-06
10964,"IFI44L",10964,80178.3614298312,4.45127633536861,0.785690436562089,5.66543275599212,1.46653930126242e-08,5.60530096002033e-05
26010,"SPATS2L",26010,4038.62203779112,4.65292300539144,0.830234091503291,5.60435069218426,2.09037092693238e-08,5.60530096002033e-05
101929095,"C1QTNF7-AS1",101929095,76.3304492906804,1.93889631524422,0.343938643522392,5.63733198278427,1.72704971235944e-08,5.60530096002033e-05
162517,"FBXO39",162517,106.562669420563,3.46443819106197,0.621006340730204,5.57874849874858,2.42255206155257e-08,5.60530096002033e-05
105373148,"SAT1-DT",105373148,486.518166987929,3.73534570956045,0.668800478624967,5.58514209983851,2.33509204318449e-08,5.60530096002033e-05
104326052,"NRIR",104326052,1253.7402716691,3.72921322610877,0.671757562906519,5.55142722915309,2.83346664156079e-08,5.96006828658487e-05
105369734,"LINC02471",105369734,117.36937418111,3.41233771810144,0.617959901765661,5.52194035300926,3.35276315718728e-08,6.4646861609166e-05
100847087,"MIR5192",100847087,21.7453875636969,2.24579341804268,0.410807997560348,5.46677141482079,4.58306449315781e-08,8.15714971097581e-05
4061,"LY6E",4061,14880.8233587787,3.26394403593016,0.600993154475881,5.43091716040693,5.6065157214786e-08,9.26596862596941e-05
101928391,"LOC101928391",101928391,149.876164895971,5.60063585771625,1.04296865821263,5.3698985234266,7.87809591990339e-08,0.000113927114621703
2048,"EPHB2",2048,519.639232473102,2.72447959512849,0.512923755011139,5.31166585386423,1.08627645067509e-07,0.000127667069377534
10561,"IFI44",10561,73439.908840406,3.35040592261744,0.630402309880073,5.31471073330112,1.06826889909085e-07,0.000127667069377534
107986148,NA,107986148,153.258453416346,2.44392844832658,0.459921048146092,5.3137999623585,1.07362473312492e-07,0.000127667069377534
51207,"DUSP13B",51207,65.9633138342638,2.68374156870601,0.506376526077392,5.29989332146855,1.15870362906397e-07,0.000127667069377534
