"X","GeneSymbol","GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
105375172,"LOC105375172",105375172,24.2085599170101,-3.13906743865406,0.482089908251522,-6.51137346981406,7.44667404479844e-11,5.74337146828488e-07
64506,"CPEB1",64506,136.340835691945,-1.3213183242253,0.212538935689356,-6.21682949498028,5.07300482126259e-10,2.93447963885935e-06
2938,"GSTA1",2938,8.86466489382611,-3.93864157253546,0.732847916030696,-5.37443238409984,7.68243048337015e-08,0.000113927114621703
81796,"SLCO5A1",81796,144.731186878154,-1.06636868011347,0.210231927207529,-5.07234412145597,3.92944978576176e-07,0.000252554469841543
107985719,NA,107985719,10.3348688881218,-3.56449158337265,0.727280509131584,-4.901123484842,9.52901340482636e-07,0.000477601160647947
113219467,"MIR12136",113219467,1864.58545586385,-1.1227647531139,0.231151669742218,-4.85726429908992,1.19018682419104e-06,0.000539971426237887
151449,"GDF7",151449,145.591398840201,-1.44127192016016,0.300604282634554,-4.7945821248073,1.63014273974022e-06,0.000639292249357784
112268284,NA,112268284,452.47834439701,-1.3645859643515,0.28605844634226,-4.77030474646016,1.83947413814331e-06,0.000697733649317374
100616284,"MIR4489",100616284,65.5116110845036,-1.08359051772905,0.227690508837881,-4.7590500072209,1.94506246207169e-06,0.000725884762055077
100302149,"MIR1249",100302149,4.33345870325044,-2.12065039731025,0.449961996694933,-4.71295445590268,2.44150780864981e-06,0.000830758936419697
100506036,"CNNM3-DT",100506036,31.3877835819691,-1.23196479888566,0.270438249549626,-4.55543844458876,5.22764230416844e-06,0.00149329861276357
6368,"CCL23",6368,30.9281042003668,-2.53211998589966,0.557149907002084,-4.54477323620945,5.49944268352377e-06,0.00155178176599235
692212,"SNORD99",692212,26.2299799470967,-1.09245673824571,0.241501801856375,-4.52359663509016,6.07975414960253e-06,0.00163573664550585
101927630,"LINC02889",101927630,4.22185269052329,-3.04461215122532,0.694126396274535,-4.38625035377727,1.15321382741518e-05,0.00242873522840741
28557,"TRBV30",28557,107.129008201404,-1.27658432959508,0.295336798719216,-4.32246958432281,1.54292359160959e-05,0.00302543780192056
107987219,NA,107987219,95.9979999361142,-1.5869321842265,0.367871839232733,-4.31381806103004,1.60459013376215e-05,0.0031199165138646
105377396,NA,105377396,8.09063042499671,-2.29445793690201,0.533616553481752,-4.2998252620371,1.70932831261579e-05,0.00316403507978434
107984271,NA,107984271,66.7846835724358,-1.27328123631268,0.297772655888128,-4.27601799941982,1.90265847100124e-05,0.00333512967439596
107984785,NA,107984785,106.157450201966,-1.55444131658712,0.368342696719974,-4.22009539059452,2.44198967838665e-05,0.00397906740693735
26800,"SNORD49A",26800,27.7135210238746,-1.07160400153835,0.255865550002407,-4.18815272915116,2.81234237647415e-05,0.00442447153869276
105370485,"LOC105370485",105370485,89.8784893424445,-1.17573921257254,0.281421139818564,-4.17786387096064,2.94259674775473e-05,0.00454182275787228
100008589,"RNA28SN5",100008589,6254.34406308508,-1.29738247507572,0.310765008502765,-4.17480230907071,2.9824493100442e-05,0.00457006040634456
25854,"FAM149A",25854,7.72863411876262,-1.90399105769255,0.45629855506851,-4.17268701937196,3.01028326534521e-05,0.00458236409168142
105378500,"SLC18A2-AS1",105378500,38.3955884065631,-1.240736037583,0.303767960588843,-4.08448618207752,4.41744548980801e-05,0.00584062021389587
101927412,"LINC01781",101927412,39.6788824160332,-1.4682647937717,0.361721102201857,-4.05910737536219,4.9260659646518e-05,0.00619452795054964
56344,"CABP5",56344,196.301133775284,-1.2213948101998,0.301546931473348,-4.05043024060007,5.11235490071881e-05,0.00629200360068255
106632264,"RNA28SN1",106632264,1499.66119277225,-1.19281658661664,0.296089998734891,-4.02856088254654,5.61193283834119e-05,0.00662494398028258
28573,"TRBV14",28573,185.49897564423,-1.77151587551943,0.445270320192278,-3.97851775693123,6.93462330575163e-05,0.00767719205973594
100505771,"MHENCR",100505771,476.435499720746,-1.0584151570946,0.267693666199227,-3.95382965955905,7.69101735215834e-05,0.00823864627288146
85329,"LGALS12",85329,628.865208330356,-1.19469896264224,0.302395706419684,-3.95078017736192,7.78968474228318e-05,0.00826355739904967
407026,"MIR29C",407026,94.8507906944386,-1.28443470301766,0.327099950663885,-3.926734627782,8.61068935260218e-05,0.00846248631911443
109864272,"RNA28SN4",109864272,7993.45399154418,-1.20453068803935,0.305732036019573,-3.93982489935151,8.15411027818545e-05,0.00846248631911443
10319,"LAMC3",10319,20.1428946287281,-2.2535844013375,0.579184450392452,-3.89096150597705,9.98477739437633e-05,0.00935335139073196
101929547,"LOC101929547",101929547,4.20703976321139,-1.83529342162053,0.474335321737285,-3.86918986951813,0.000109197582464388,0.00998661526901582
85391,"SNORD14E",85391,34.6721116724493,-1.15690238770431,0.302924157446582,-3.81911564087893,0.000133930969226544,0.0114205286815125
